,artist,artist_pop,artist_id,song,song_pop,song_duration_ms,song_id
44,Vakero,42,5rlwbF5flU2JCmAzV5Obu0,Capea El Dough 2k17,33,370337,3SOY1DKorxsNPreFiuPwZ1
45,Vakero,42,5rlwbF5flU2JCmAzV5Obu0,Los Zapatos,29,187426,2QebSAWmxv8gw0BvOqQPFv
46,Vakero,42,5rlwbF5flU2JCmAzV5Obu0,Que Mujer Tan Chula,29,210962,0JNO59NigOfHWQQAClzAEs
47,Vakero,42,5rlwbF5flU2JCmAzV5Obu0,Se Partio el Lapiz,28,259533,1VAJTs96cC8332LtN3i5vA
48,Vakero,42,5rlwbF5flU2JCmAzV5Obu0,Una Vaina Loca (Remix),26,294826,1r1JsyDxWgMo9jE3dJcirm
49,Vakero,42,5rlwbF5flU2JCmAzV5Obu0,Demasiado,26,229320,3Rych4r0vBVbsqkR2kkKEi
50,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,La Chapa Que Vibran - Remix,52,203492,6fmVrh7XQ0KD69AOufNMUL
51,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,La Chapa Que Vibran,45,215301,6cFckWKvl4IrBmRZI995kG
52,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,Machucando,41,234453,6R8PlLgNFv8WysXspoTmTR
53,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,Como Me Lo Hace,41,200651,5nUJPQreW88E30aHM2HHm7
54,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,Taka Taka,39,152659,0LlWBlBmg2OOibYOnF9Dm0
55,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,Te Lo Compre,36,200724,5lhPjPAJ2eETbkSBziCRWs
56,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,Click Clock,33,171441,3hDD5EhhH9bxXEEuwsyQT8
57,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,Nunca Maniqui,29,225815,0PHsVUWTCuSy3t8r4sm4OV
58,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,Dominicana,29,172384,07BugovfF5V3Bd2nsDxmVa
